latitude,longitude
49.276774,-123.12523
49.841375,-119.487573
49.500151,-117.283269
49.23206,-123.032935
49.261923,-123.068225
49.244772,-123.153891
53.540159,-113.578866
49.235239,-123.115714
49.835574,-99.961661
49.828233,-119.628634
56.730356,-111.426777
49.692732,-112.891789
42.957764,-81.23289
53.504135,-113.614748
53.559551,-113.553617
51.048739,-114.080881
53.53903,-113.504387
50.913241,-113.950365
49.473985,-123.747567
48.44235,-123.510958
52.288058,-113.814445
50.984507,-114.014588
49.512177,-115.765227
51.073947,-113.984528
53.571339,-113.466776
44.250407,-76.567311
53.537452,-113.501423
50.114261,-122.955921
49.264287,-123.013756
50.006895,-110.664939
49.26729,-123.112947
49.283759,-122.810704
51.020747,-114.141998
49.124019,-123.180856
48.401994,-89.24117
43.641282,-79.414767
49.114757,-122.670708
50.671719,-120.334138
53.69333,-113.21265
51.048211,-114.063566
49.232065,-123.119712
49.139627,-121.963179
43.476361,-80.525197
53.910924,-122.782935
53.534326,-113.617921
49.865247,-99.961274
43.817106,-79.4243
49.823524,-97.083645
43.580256,-79.711998
52.117949,-106.656389
49.895743,-119.413248
53.4556,-113.515469
44.231474,-76.492635
55.748735,-120.224498
43.636896,-79.621065
52.958794,-113.390049
49.149475,-123.182312
43.483057,-79.696175
49.882308,-97.205334
53.52477,-113.53062
44.007199,-79.4443
51.041655,-114.210844
49.882721,-119.431989
43.077276,-79.082792
43.732642,-79.419222
43.219535,-79.725717
51.295521,-114.01357
53.48606,-113.52275
43.822606,-79.350591
50.972316,-114.098331
53.542333,-113.911033
49.163661,-122.800641
49.248679,-123.126481
49.046672,-122.796682
49.334121,-123.179904
49.500299,-119.593221
49.25792,-123.168211
43.659944,-79.725689
50.717033,-113.980337
50.94053,-114.119209
43.329457,-79.819617
53.565808,-113.520879
49.061253,-122.812352
43.64658,-79.51404
49.050269,-122.800865
51.185218,-114.476189
49.265568,-123.138167
56.238095,-120.847267
43.639623,-79.537513
49.10642,-122.662602
52.130992,-106.722122
49.234456,-123.160569
51.064532,-114.09903
55.156178,-118.794934
53.541156,-113.978925
51.02276,-114.116391
49.879075,-97.147191
43.083867,-79.079999
50.698602,-120.359148
50.669517,-120.352364
49.008045,-123.130408
49.372482,-123.098652
49.271035,-123.087737
44.503381,-80.311607
