latitude,longitude
51.52581,-0.12879
51.507619,-0.223394
51.47376,-0.1918
51.37466,-0.09278
51.35952,-0.1913
56.07186,-3.45995
52.583939,-2.0117
51.506483,-0.099957
51.51732,-0.17752
53.441059,-2.218939
53.46516,-2.34651
51.51402,-0.13925
51.5088,-0.14408
51.51528,-0.1353
51.521584,-0.157084
55.95774,-3.207765
51.51835,-0.11394
51.51341,-0.08285
53.485095,-2.242378
51.507114,-0.072531
51.521388,-0.143514
51.516126,-0.14389
51.54545,-0.1034
54.815504,-1.373245
51.57872,-0.12408
53.414896,-1.411732
57.1448,-2.10591
51.49319,-0.22154
51.54795,-0.18141
51.716061,-0.282385
51.504577,-0.219539
51.526232,-0.088351
53.47373,-2.23992
54.99242,-1.60657
51.434199,-0.375842
54.96944,-1.61686
53.47971,-2.24824
51.45616,0.1463
51.411661,-0.303862
51.453136,-0.969971
51.39219,-0.30622
53.79404,-1.548445
51.49264,-0.26403
51.541097,-0.145305
51.50808,-0.09608
55.952305,-3.20373
51.493,-0.19443
55.94978,-3.1887
51.53448,-0.10522
51.47271,-0.20081
55.94621,-3.20506
51.51122,-0.11989
52.48039,-1.90208
57.478938,-4.221137
51.450828,-2.582936
53.795394,-1.548144
51.5542,-0.16576
51.49259,-0.25971
51.51263,-0.09008
51.49429,-0.14688
51.53244,-0.10651
51.508866,-0.125227
51.50819,-0.10188
51.38514,-0.42199
51.4774,-0.28637
51.51235,-0.12164
56.459933,-2.972661
55.9384,-3.31443
51.4428,-1.06192
57.14761,-2.09807
51.51084,-0.08557
51.73228,0.47496
51.463764,-0.142022
51.545975,-0.478774
51.51257,-0.10408
51.51887,-0.07862
51.50601,-0.08349
52.479095,-1.89933
51.50979,-0.19718
51.46365,-0.30215
55.86112,-4.26072
51.43914,0.27227
51.54541,-0.16269
51.482111,-0.009875
51.5166,-0.12933
55.95095,-3.20322
51.28468,1.08496
51.503933,-0.07536
51.44487,-0.2057
52.482059,-2.110495
55.980105,-3.179683
51.39276,-0.74093
51.513239,-0.301842
55.86655,-4.2707
