,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
21,30495,9424,14620,12918,12990,11971,9774,11293,16025,13228,7802,12139,12474,11454,15830,19707,20855,11964,12169,9927,7406,0,23791,14113,14624,17682,16323,14832,12542,13421,11236,14391,12827,16186,16989,11284,24907,32787,12467,3158,19790,22196,11354,13519,12154,25325,20714,13987,13864
22,20238,10176,6295,6852,7160,9071,9762,7601,7943,5584,16284,11117,7145,11072,7604,4004,5771,7884,6859,12201,22575,23791,0,10677,5041,8640,4331,10507,8041,7669,8196,10863,8326,3384,8513,27777,5416,15884,7067,21020,6451,3441,8992,8246,11371,4586,13311,8798,5929
23,27232,4964,4321,5199,6086,8063,3351,3574,3954,4884,6352,2127,2949,1568,3759,7611,12154,3020,4450,2949,19044,14113,10677,0,4380,5819,6162,2531,2272,1950,3195,1849,3043,5216,13567,21305,12420,22493,3770,10107,7927,12134,4078,1151,11452,12838,8851,6976,4180
24,21047,4320,1940,409,1896,3201,4138,1959,6029,741,7139,3761,1575,4444,5834,9425,7045,2478,1217,3337,17508,14624,5041,4380,0,7197,2352,5543,3424,3771,3579,3252,3709,2859,7194,23038,13195,21403,2450,11180,7299,10536,3701,4391,8002,12498,9913,3527,1312
25,28194,9906,5772,7182,7811,11363,7196,7419,1064,6609,12363,6098,5850,5413,725,5574,9538,5921,8295,6794,22613,17682,8640,5819,7197,0,8644,4233,6516,5603,9681,6431,7287,7697,14781,25919,9327,19400,8226,14721,2901,9040,9799,5395,15159,9744,5184,10684,7491
26,20495,6020,3233,2721,1475,3282,6729,4539,8921,1909,9852,6152,4083,5930,8582,6916,5772,4822,3797,5802,19468,16323,4331,6162,2352,8644,0,4936,3705,3878,3860,3532,3990,1512,7124,23702,12588,20724,2731,11461,6669,8013,3982,4672,8666,9157,9306,2949,1592
27,28168,5521,4392,5756,6157,8999,3908,4131,3784,4955,6909,2504,3326,2125,3589,7441,11984,3397,5007,3506,19763,14832,10507,2531,5543,4233,4936,0,2512,2190,4737,2263,3283,5426,13981,22223,11760,21833,4010,11025,6609,11474,4318,1391,11866,12178,7533,7390,4420
28,26104,1981,3796,3409,4896,5742,1561,1784,6067,3719,4562,2551,1957,1866,5872,8995,10274,1913,2660,1159,15163,12542,8041,2272,3424,6516,3705,2512,0,1509,1818,1472,2183,4454,11780,20248,12602,22675,1542,9050,8258,11635,1944,2086,9665,13020,9182,5189,1952
29,26245,3047,3334,3756,5099,7076,3026,2422,5154,3897,6027,761,1962,1544,4959,8316,12859,2033,3006,2224,19258,13421,7669,1950,3771,5603,3878,2190,1509,0,3004,807,2852,4740,13296,21114,11937,22010,2795,9916,7736,10970,3887,960,11181,12355,8660,6705,2896
30,24416,932,4758,3564,4005,2986,1641,1939,9232,3874,4419,3474,3120,2789,9037,12914,8701,2979,2815,949,16259,11236,8196,3195,3579,9681,3860,4737,1818,3004,0,2148,1832,5130,8338,19358,13278,23351,1186,8160,9290,12311,1054,2514,10378,13696,10214,3961,2628
31,25977,3010,3136,3237,4724,6808,2989,2232,4993,3699,5990,1103,1443,1617,5787,7797,10102,1514,2487,2187,18990,14391,10863,1849,3252,6431,3532,2263,1472,807,2148,0,2608,4178,11994,20673,12183,22256,1967,9475,8166,11897,2369,1994,9879,12601,9090,5403,2165
32,26389,2266,4888,3694,5181,6027,1846,2069,6838,4004,4847,3322,3250,2637,6643,10851,10559,3857,2945,1444,15448,12827,8326,3043,3709,7287,3990,3283,2183,2852,1832,2608,0,5477,13828,20836,12609,22682,3857,9638,7458,12323,4169,682,13318,13027,8382,7237,4267
33,21086,5882,2287,2844,2733,4038,5970,3593,7974,1576,8971,5036,3137,4984,7635,5969,4825,3876,2851,5169,20059,16186,3384,5216,2859,7697,1512,5426,4454,4740,5130,4178,5477,0,9363,25205,10514,20606,3667,12396,6606,7495,4918,5608,10537,8639,10243,3886,2529
34,13165,8630,8758,7563,6926,5396,13680,11117,15058,7572,12167,13593,11086,13335,14719,11119,8313,11692,10781,12005,15338,16989,8513,13567,7194,14781,7124,13981,11780,13296,8338,11994,13828,9363,0,23858,14999,21366,11777,15382,12473,11969,8276,13469,6451,14766,19912,5271,11101
35,31246,18868,24065,22363,23574,21736,19219,20738,25470,23739,17248,21584,21919,20899,25275,29152,27578,21409,21614,19371,9175,11284,27777,21305,23038,25919,23702,22223,20248,21114,19358,20673,20836,25205,23858,0,32414,39941,19973,13626,27297,32128,18860,21025,19295,32832,28221,21142,21370
36,20485,17131,12044,13180,12683,16717,14119,12413,11212,12607,19588,12233,11625,12188,11017,5103,8518,11696,12668,13317,28899,24907,5416,12420,13195,9327,12588,11760,12602,11937,13278,12183,12609,10514,14999,32414,0,11863,13719,22081,6216,2724,14314,13020,20652,1956,12844,16177,12984
