,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39
24,1140370,320941,323941,152163,324398,1278176,1266589,1282644,328974,322258,316446,325674,318707,1284484,1275600,143542,144044,146001,153093,325819,325815,1279199,1146299,322067,0,1286599,1141008,315041,1136065,1286073,147783,354122,1108748,1196051,315896,317611,323515,1276805,336076,1279950
25,393447,965922,963784,1373913,977708,12558,28431,9462,963899,967098,973744,959042,970612,6478,17206,1367571,1379174,1380875,1387968,960979,960975,13879,397764,965698,1286599,0,398945,979746,404203,4737,1389978,1046552,195522,108026,970304,977217,966203,13999,954243,7936
26,11962,837062,828401,1228322,847420,405267,413477,403345,831156,826214,835087,832873,825021,408842,412377,1221980,1233583,1235284,1242377,833016,833012,409285,7033,824249,1141008,398945,0,830076,8920,401632,1238265,924884,471100,442573,839184,825368,826003,404732,833638,400119
27,831869,14563,12835,402355,16830,967632,956045,972100,18624,11231,4497,18261,10206,973940,965056,396013,407615,409317,416410,18407,18403,968655,837798,10469,315041,979746,830076,0,825646,975654,411636,102609,798329,885632,16909,7057,13096,966386,25657,969531
28,12097,832119,823458,1223379,842477,410525,418735,408603,826213,821271,830144,827930,820078,414100,417635,1217037,1228640,1230341,1237434,828073,828069,414543,15523,819306,1136065,404203,8920,825646,0,406933,1242436,929055,476401,447874,843355,829539,830174,410033,837809,405420
29,397559,965396,963258,1373387,977182,10936,26810,9994,963373,966572,973218,958516,970086,5191,15919,1367045,1378648,1380349,1387442,960453,960449,12592,401876,965172,1286073,4737,401632,975654,406933,0,1388437,1045011,191679,104183,968763,975676,964662,12804,952702,6741
30,1240058,420629,423629,19976,424086,1377864,1367454,1382332,428662,421946,416134,425362,418395,1384172,1374111,25261,7452,4074,6639,425507,425503,1378887,1245987,421755,147783,1389978,1238265,411636,1242436,1388437,0,496086,1204407,1291710,411555,413135,419174,1372464,431734,1375609
31,926677,90393,98689,487741,81515,1038572,1022859,1043040,97818,100773,96455,97455,105014,1040754,1030693,481399,493001,494703,501796,97601,97597,1035469,932606,103917,354122,1046552,924884,102609,929055,1045011,496086,0,869903,957206,88430,102088,98694,1037960,104133,1041105
32,467027,788071,785933,1196062,799857,173893,158753,182905,786048,789247,795893,781191,792761,176648,166687,1189720,1201323,1203024,1210117,783128,783124,171363,471344,787847,1108748,195522,471100,798329,476401,191679,1204407,869903,0,90750,793633,796412,789532,182640,777572,185901
33,438500,875374,873236,1283365,887160,94711,79571,102765,873351,876550,883196,868494,880064,97466,87405,1277023,1288626,1290327,1297420,870431,870427,92181,442817,875150,1196051,108026,442573,885632,447874,104183,1291710,957206,90750,0,876517,879161,872416,98657,860456,101918
34,840977,6814,12988,403210,10229,962324,946611,966792,11910,15072,10755,11547,19314,964506,954445,396868,408470,410172,417265,11692,11688,959221,846906,18217,315896,970304,839184,16909,843355,968763,411555,88430,793633,876517,0,17624,15797,963218,21236,966363
35,827161,14773,10726,404790,23888,964968,953516,969436,15765,9043,11555,17482,5498,971411,962527,398448,410050,411752,418980,17625,17621,966126,833090,8858,317611,977217,825368,7057,829539,975676,413135,102088,796412,879161,17624,0,6064,960568,19838,963713
36,827796,8893,3728,410829,20494,958223,942510,962691,7368,1821,9615,10436,6133,960405,950344,404487,416089,417791,424884,10579,10575,955120,833725,4358,323515,966203,826003,13096,830174,964662,419174,98694,789532,872416,15797,6064,0,955667,11200,958812
37,400659,956128,953990,1364119,967914,541,21634,4218,954105,957304,963950,949248,960818,8539,10743,1357777,1369380,1371081,1378174,951185,951181,4178,404976,955904,1276805,13999,404732,966386,410033,12804,1372464,1037960,182640,98657,963218,960568,955667,0,945798,7549
38,835431,14146,9522,423390,25932,946263,930550,950731,10950,12837,19482,7266,13392,948445,938384,417048,428650,430351,437444,9203,9199,943160,841360,11437,336076,954243,833638,25657,837809,952702,431734,104133,777572,860456,21236,19838,11200,945798,0,947387
39,396046,959273,957135,1367264,971059,6223,24895,1942,957250,960449,967095,952393,963963,9158,14004,1360922,1372525,1374226,1381319,954330,954326,10678,400363,959049,1279950,7936,400119,969531,405420,6741,1375609,1041105,185901,101918,966363,963713,958812,7549,947387,0
