,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362
99,19863,24699,20168,11759,18520,726586,234769,16663,22870,351397,355044,20359,20353,20239,22093,686360,18453,21013,414388,20316,21702,21019,23996,466221,28813,324682,898804,23759,26715,86037,24764,23487,354125,491647,44085,488444,353821,15141,32214,82158,33629,355381,27657,21925,16187,686165,22580,684692,25395,20631,686215,19625,223882,936488,205943,355721,24225,27859,23049,19260,25155,19173,16492,43266,27205,18555,794816,696106,89617,899544,23360,63853,16468,45703,17795,22394,16218,223979,23599,27454,685208,25110,23516,9867,19536,686295,88113,15267,20951,227406,685317,96684,31546,685784,145350,256045,45703,685546,22331,0,20536,24331,18024,51286,21024,96547,154207,23898,21728,21885,43170,39763,20430,25110,16053,489413,22105,84574,48280,25721,42626,22567,20551,684855,685065,22285,19368,20265,146509,19096,17104,21135,20859,20398,18635,24862,21108,24597,21411,354401,21466,16783,19915,2176,15023,324849,24245,25883,21046,23080,21357,226699,90773,226483,23451,412747,260431,685812,98431,29035,677617,21314,353658,19169,200497,49639,52359,21865,21537,23707,22629,18521,86025,687684,21675,353486,18623,337891,18386,21289,173359,154602,15304,212520,685748,20970,488243,22049,204128,272453,416633,322614,261195,217358,77625,12269,13415,961456,315008,207749,89806,43891,479120,24789,408666,226202,20723,31685,288614,43026,24539,499035,425913,436980,677187,16128,20509,11961,685875,684228,486794,898589,900794,101172,206216,196363,206514,213192,351154,236144,233305,490007,344613,13888,423803,29171,21888,18723,259343,226827,82836,22034,184036,18173,31782,26401,22049,685339,290940,21493,22539,23819,274773,689822,689379,200841,21088,24682,269897,154880,338783,255768,206245,92863,499035,385394,272648,193233,12076,19512,20945,16651,19563,21238,208285,82202,486838,675467,242724,219847,20139,354416,212122,414458,783296,684014,44228,234251,291468,20154,898666,256917,259675,21164,371744,290379,54140,20247,172231,265388,83144,225644,216006,81139,78479,249244,104106,99005,244024,199940,120420,98618,152567,199965,163563,216795,364403,307884,369304,287003,701555,114288,304955,301248,548921,624333,385292,370331,438201,144589,180658,125622,242280,221497,14665,242768,169179,488176,226238,204493,204674,350069,192900,352629,936214,356798,494012,417110,416987,256330,367431,414946,389224,351645,170838,284009,230610,257208,18438,341722,447979,181167,150852
100,2328,7705,7398,21590,22503,700612,212403,6038,3021,329031,332678,1220,1441,1475,1762,674120,3298,7160,347030,7355,1167,1056,5906,420529,8702,269911,872829,9598,6851,30235,8852,5768,331759,445954,21359,442751,331455,26473,21416,66361,26130,309689,12120,3760,6572,662597,5940,661718,4630,7817,660803,3233,201516,910513,190146,310029,6020,11688,5479,4095,5179,2781,5867,29709,14186,3611,768841,665393,73820,873569,5776,68316,7990,27209,4898,7264,7283,201613,4506,14529,659234,37165,4641,12863,2348,662727,100554,8318,12004,205040,639625,57173,13072,659810,85737,240247,27209,662186,5674,20768,0,5040,2918,14074,5004,72015,114696,10039,6905,971,9624,17302,4985,37165,11316,443721,3257,36673,9104,5392,20165,5978,1639,658881,659090,5064,2225,6637,86896,3300,4464,4964,6487,5593,3010,14745,5198,3690,6070,332034,4568,8364,1934,24592,20270,270077,4957,7420,5137,3443,1445,204332,90864,204117,11464,334295,244633,659837,58920,6411,651643,6195,331292,2677,178131,11551,6210,678,5171,5393,2542,4462,30222,661710,1856,331119,4370,315524,4473,6679,150993,137482,5759,173009,659774,4441,442551,30096,188330,226761,370941,283103,221684,194992,60380,19255,10502,935482,299211,168238,21561,61846,433428,14808,386300,203835,6173,13240,211850,27229,7397,471977,403547,391288,651212,11390,2055,10222,661459,664383,441102,872615,874820,61661,190419,173997,190717,173681,305461,213778,181595,444315,298921,17083,351101,14260,15888,7006,243545,204461,65592,3304,161669,12700,20983,15834,23633,659364,268573,5584,7409,9960,229081,659075,663404,185043,1094,4756,254100,137760,268695,239970,190447,34799,471977,340278,226956,170866,21907,3062,3218,6387,2663,2044,192488,66404,441146,649493,220357,197480,2748,332050,189756,347099,757322,638322,12980,177444,269101,1191,872691,241119,243878,4509,349378,268013,19500,7287,149864,243021,65900,203278,200208,26905,61358,233447,64595,76638,180799,177574,80909,76252,136769,177598,141196,200997,318711,285518,323612,264636,675580,91922,262264,250688,522947,598359,362926,347964,373734,84977,121045,109824,165516,186649,8843,175446,129668,442484,170174,182127,182307,327703,170534,330263,910240,334432,448320,394744,394621,240533,321739,352607,366858,329278,111225,207245,208244,241411,4523,319355,374614,135475,135055
101,9140,1820,5157,21060,22265,696227,208018,9708,3318,324647,328294,5524,5007,5491,7050,669735,10688,11631,342645,11601,8154,5072,12332,427039,15127,293232,868445,2632,7296,42889,1886,12193,327375,452465,16434,449262,327070,31690,16490,61435,23027,316199,5154,10185,10577,658212,2302,657334,11055,5576,656419,7478,197131,906129,185221,316540,7523,4722,9724,6150,11604,7026,9537,24784,9261,7405,764457,661008,68894,869185,10035,82882,9070,22825,12289,13689,11162,197228,820,9604,654849,42382,10542,18080,9830,658342,105771,12639,9586,200656,671970,52248,8688,655425,89472,235322,22825,657802,1805,23830,4810,0,7164,16518,4777,67090,109770,3073,11164,4246,13028,27389,4827,42382,15561,450232,9682,31748,9003,1434,32078,13368,5205,654496,654706,1886,9707,10883,90631,10690,8324,3037,12912,3715,10401,11798,12589,4974,2853,327650,11958,9443,6433,25507,19740,293399,3794,3004,12527,2710,5461,199948,101292,199733,8360,329911,239708,655453,53994,4196,647258,13586,326908,9833,173746,15937,5968,4694,2637,7061,3287,11852,42877,657325,8281,326735,6425,311140,6528,4438,146608,148325,9923,168083,655389,10866,449062,34068,183405,233271,377452,278177,216759,190608,44035,24472,15719,931097,294285,163312,28072,65802,439939,11861,381915,199451,10419,8855,235172,22303,1661,467593,399163,397798,646828,15636,5954,12954,657075,659999,447613,868230,870435,56735,185493,169612,185791,168755,311972,209393,204917,450825,305432,22300,346717,6057,13577,14361,238620,200076,49247,4577,157285,20021,16058,12730,20530,654980,264189,12974,13835,2994,235592,654691,659020,180118,4450,4280,249175,148603,264311,235045,185522,50424,467592,335894,233467,166482,21377,6982,9643,9119,6813,9042,187562,61479,447657,645108,215973,193096,9780,327665,185371,342715,752937,661667,22237,200766,264717,5289,868307,236194,238953,3738,344994,263629,23235,11532,145480,238637,49554,198893,195283,33416,71787,228521,59670,72254,176415,173190,75984,71868,131844,173214,136812,196072,325222,281133,330122,260252,671196,87537,285586,274010,518562,593974,358541,343580,369349,88711,124780,104899,188837,182265,11575,171062,124743,448995,193496,177742,177923,323318,166150,325879,905855,330047,454831,390359,390236,235607,328250,348223,362473,324894,114960,230566,203859,236485,6578,314971,370230,141986,130130
102,3032,8944,7742,18866,20857,707245,219036,3062,5315,335664,339311,1974,1968,1854,3747,666511,2868,4657,353663,4627,2851,2634,6148,446372,10195,304833,879462,7677,8535,31918,9009,4413,338392,471797,21423,468594,338088,24186,19240,66425,26496,335532,11923,5094,3595,666316,6004,668351,4871,8162,667436,1240,208149,917146,190210,335872,7394,12125,2750,2783,4632,787,2891,29773,14250,2128,775474,672026,73884,880202,3061,65587,6355,29291,2494,5757,4307,208246,6442,14593,665867,42017,6685,10576,1627,666446,107715,5589,11595,211673,665468,57237,15813,666443,87421,240311,29291,668819,5738,18481,2151,6977,0,15758,5068,72079,114760,8165,4190,3202,11117,35372,4395,42017,8587,469564,5274,36737,10788,7805,38235,3942,2166,665514,665723,5128,1910,3909,88580,2265,2177,5028,4121,5657,1804,13713,3315,5747,6134,338667,3185,6728,1530,21867,17545,304999,6690,9502,2766,5524,2652,210965,88135,210750,11830,340928,244697,666470,58984,8346,658276,3553,337925,2338,184764,13235,8744,2701,5235,6876,5073,3221,31906,668343,3540,337752,1811,322157,1574,7648,157626,134753,3472,173073,666407,5136,468394,27372,188394,252604,396784,283167,221748,201625,47504,16968,7833,942115,299275,168302,23245,73597,459271,13776,392932,210468,3445,15952,213534,27293,8784,478610,410180,417131,657845,8662,2124,7497,668092,664379,466945,879248,881452,61725,190483,180630,190781,173745,331304,220411,183279,470158,324764,14780,357734,13438,12673,4876,243609,211094,52716,3368,168302,11343,18808,16200,19628,665997,275206,3098,3843,8085,254924,665708,670037,185107,2703,7127,254164,135031,275328,240034,190511,36483,478610,346911,252799,177499,19183,1278,4114,3662,1440,3413,192552,66468,466989,656126,226990,204113,3308,338683,196389,353732,763955,664165,14473,179128,275734,1769,879324,241183,243942,4573,356011,274646,21184,4558,156497,249654,53024,209911,200272,28589,58630,233511,64659,83271,187432,184207,80973,82885,136833,184231,147829,201061,344554,292151,349455,271269,682213,98555,285106,252372,529580,604992,369559,354597,380366,86660,122729,109888,167199,205764,6119,182079,129732,468327,171858,188760,188940,334336,177167,336896,916873,341065,474163,401377,401254,240597,347582,359240,373491,335911,112909,208928,214877,241475,1626,325988,381247,161318,135119
103,12992,11221,17279,37136,35312,671003,208796,17281,10052,325424,329071,13031,13037,13304,11032,630777,14541,18403,343423,19611,12154,12885,14003,410638,11139,260562,843221,15838,8041,20344,11850,16478,328152,436064,23676,432861,327848,61354,25009,66007,26739,299798,14278,11290,17815,630582,14424,629109,14745,21078,630632,14902,197909,880905,189792,300138,8328,14650,16708,14896,15258,14711,17110,32026,15218,14854,739233,640523,73466,843961,17019,69910,21191,23603,16141,17974,18526,198006,10360,16846,629625,58582,9070,42158,13682,630712,124280,20574,23899,201433,629734,63409,11788,630201,76389,239894,23603,629963,14048,53315,13158,10238,14728,0,16898,78251,120931,17376,18147,12270,9849,14416,16949,58582,39362,433830,10787,42909,5150,9257,19105,17725,13235,629272,629482,11688,13560,17987,77547,14542,17070,15359,17197,15837,14253,26277,16441,9344,14975,328428,15811,21565,13845,55047,35816,260729,7446,10937,16380,9134,12814,200726,88320,200510,19170,330689,244279,630229,65156,6686,622034,17438,327685,13686,174524,2854,7097,12488,15434,8572,11945,15300,20332,632101,12134,327513,15171,311918,15274,16559,147386,131923,17954,179245,630165,12444,432660,85747,187976,216870,361050,289338,227920,191385,66616,37389,22053,905873,298857,174473,8820,90161,423537,26340,382693,200229,17523,11493,202502,26875,11826,443452,399940,381397,621604,39437,14091,21023,630292,628645,431211,843006,845211,67897,190065,170390,190363,179916,295571,210171,172247,434424,289030,41633,347494,14062,28249,18646,243192,200854,71827,14579,158063,36574,24577,28244,33576,629756,264967,16826,18119,16199,219190,634239,633796,184689,12610,6566,253746,132201,265089,239616,190093,25451,443452,336672,217065,167260,37453,14396,13036,17188,13998,12856,192134,66051,431255,619884,216751,193874,13632,328443,186149,343493,727713,628431,8228,168096,265495,13001,843083,240765,243524,15860,345771,264406,10152,19543,146258,239414,72135,199671,199855,17014,58815,233093,70831,73032,157800,173967,87145,72645,136415,173992,137590,200643,308820,281911,313721,261030,645972,88315,249372,241340,493338,568750,359319,344358,370127,75628,111696,109471,156167,183042,19644,171840,135904,432593,160826,178520,178701,324096,166927,326656,880631,330825,438429,391137,391014,240179,311848,359363,363251,325672,101877,197896,204637,241057,15324,315749,371007,125584,134701
104,5955,5815,3346,17941,18134,704116,215907,6089,5540,332535,336182,4268,3256,4322,5017,677623,5753,8776,350534,8746,5145,5518,8656,431034,13260,301121,876333,4875,9365,64470,5880,8532,335263,456460,18294,453257,334959,27316,14844,63296,22100,320194,8794,8317,7609,666100,2875,665222,7379,3766,664307,5008,205020,914017,187081,320535,9525,8996,6870,2244,7139,4556,5918,26644,11121,5600,772345,668897,70755,877073,7181,69707,4696,26820,6614,9876,8194,205117,4013,11464,662738,38009,8592,13706,4607,666231,101397,9474,7635,208544,679859,54108,12684,663314,93467,237183,26820,665690,3274,20664,4240,4708,4384,20513,0,68950,111631,5036,8309,4555,15029,31384,744,38009,12707,454227,7815,33608,11619,5741,36072,8062,3292,662385,662594,2699,4889,8028,94625,6154,4705,1899,8241,1837,6237,10376,7434,6631,2199,335538,7305,5070,4040,22341,16620,301287,6915,6999,6885,5487,5120,207836,92255,207621,7433,337799,241568,663341,55855,7318,655147,7672,334796,5304,181635,19932,8969,5140,2198,9063,5299,7340,64458,665214,6413,334623,2807,319028,2910,2922,154497,138872,6955,169944,663278,8999,453057,33141,185265,237266,381447,280038,218619,198496,43108,20098,11345,938986,296146,165173,32067,62636,443933,10439,389803,207339,7564,12823,243060,24164,5655,475481,407051,401793,654716,12781,3562,8581,664963,667887,451608,876119,878324,58596,187354,177501,187652,170616,315967,217282,212805,454820,309427,17927,354605,10309,11518,8996,240481,207965,48320,1514,165173,15462,14411,11804,19603,662868,272077,7218,7962,4956,239587,662579,666908,181978,3921,7352,251035,139150,272199,236905,187382,57845,475481,343782,237461,174370,18258,4589,7775,4777,4420,5719,189423,63339,451652,652997,223861,200984,5963,335554,193260,350603,760826,669555,26232,208654,272605,4032,876195,238054,240813,951,352882,271517,27230,8678,153368,246525,48627,206782,197144,37411,62749,230382,61530,80142,184303,181078,77844,79756,133704,181102,144700,197932,329217,289022,334117,268140,679084,95426,293474,281898,526451,601863,366430,351468,377237,92706,128774,106759,196726,202635,7202,178950,126603,452990,201384,185631,185811,331207,174038,333767,913744,337936,458826,398248,398125,237468,332245,356111,370362,332782,118955,238455,211748,238346,2960,322859,378118,145980,131990
105,83107,60672,58768,70310,61881,723454,235245,70561,80251,351873,355520,66397,65386,66452,81017,696962,84655,71368,369872,71338,82121,82868,89401,475508,86537,320459,895672,59162,83568,83809,60738,86160,354601,500934,46521,497731,354297,100874,52991,35179,47071,368966,57204,84152,70852,685439,61171,684560,85022,60309,683646,67215,224358,933356,154656,369307,83855,57575,69461,65240,85572,66763,70390,44043,54586,67142,791684,688235,38330,896411,69772,136208,60805,58362,69205,87657,71438,224455,63357,52718,682076,97465,84597,113544,66737,685569,160854,72718,56881,227882,699197,28022,57996,682652,127492,204758,58362,685028,61736,95645,66370,62911,66901,78944,63667,0,50213,58929,70901,82354,85247,89814,63718,97465,115878,498701,83650,41216,80677,64301,100035,87335,65422,681723,681932,62526,83675,70620,128650,84657,69177,62128,86879,62585,67897,51134,86556,82369,61722,354877,85925,61120,66170,95616,69919,320626,81333,61400,69477,79580,82967,227175,166696,226959,57040,357138,209144,682679,15048,78667,674485,70264,354134,83800,200973,78362,82625,82455,62203,84099,80792,85819,83797,684552,82248,353962,65802,338367,65905,62441,173835,213314,70198,115691,682616,84834,497531,58426,152841,281740,439051,225785,157202,217834,19701,111431,116319,958324,263721,103755,82579,102809,488407,51126,409142,226678,70156,59405,262399,46932,61525,494820,426389,446267,674055,115953,65691,67009,684302,687226,496082,895457,897662,9457,154929,196839,155227,116363,364792,236620,232143,499294,353901,113713,373943,56892,53353,71587,208056,227303,15535,63468,184512,117997,52559,49376,50754,682207,291416,69809,87802,59523,290880,681917,686246,139811,66051,80584,218610,213592,291538,204481,154958,77183,494819,363121,287520,193709,70627,66718,83610,62684,66550,83009,156998,35223,496126,672335,243200,220322,83747,354892,212598,369942,780164,688893,84662,227993,291944,66162,895534,205629,208388,62629,372220,290855,89068,71269,172707,265863,14657,226120,164719,88363,137191,197957,21267,99481,203642,200416,23552,99094,101280,200441,164039,165507,378042,308360,382942,287479,698423,99820,312813,301237,545789,621201,385768,370807,396576,126731,184160,74335,216064,170210,63548,198289,65186,497464,220723,204969,205150,350545,193376,353105,933082,357274,503300,417586,417463,205043,378608,375449,389700,352121,169469,257793,231086,205921,65955,342198,397456,190454,99565
106,125837,103402,103825,128735,120306,714005,225795,113291,122981,342424,346071,109127,108115,109181,123747,687512,127385,114098,360423,114067,124851,125597,132130,479296,129266,311010,886222,101891,126298,126538,103467,128890,345152,504722,89251,501519,344848,159299,95721,65121,95397,359517,99934,126882,113582,675989,103901,675111,127752,103039,674196,109945,214909,923906,152984,359857,126585,100305,112191,107970,128301,109493,113119,86969,97315,109871,782234,678785,73799,886962,112502,194633,107617,101092,111935,130386,114167,215006,106087,95447,672627,155890,127327,171970,109466,676119,219279,115447,104499,218433,689747,70751,100725,673202,154466,203085,101092,675579,104466,154070,109100,105640,109630,121673,106397,50354,0,101659,113631,125084,127976,132544,106447,155890,174303,502488,126379,83945,123407,107030,142765,130065,108152,672273,672483,105255,126404,113350,155406,127387,111907,104857,129609,105314,110626,101917,129285,125099,104452,345427,128655,107932,108899,154041,128344,311176,124062,104129,112206,122309,125697,217725,209426,217510,99769,347688,207471,673230,58025,121397,665036,112994,344685,126530,191523,121092,125354,125185,104933,126829,123522,128549,126526,675102,124978,344512,108532,328917,108635,105171,164386,256044,112927,91629,673167,127563,501319,116851,151168,283959,429602,201723,111412,208385,78262,169857,117318,948875,262049,57965,125308,161234,492195,101980,399692,217228,112885,102135,252949,89662,104255,485370,416940,450055,664605,174378,108421,114553,674852,677776,499870,886007,888212,60143,153256,187389,153555,92301,355343,227171,222694,503082,390589,172138,364494,99621,109250,114317,206383,217854,80459,106198,175062,176422,95288,105274,109179,672757,281966,112539,130532,102253,281430,672468,676797,115750,108781,123314,216938,256322,282088,202808,153285,119913,485370,353671,278071,184259,129052,109448,126340,110718,109280,125739,155325,65164,499914,662885,233750,210873,126477,345443,203149,360492,770715,679444,127392,218543,282494,108892,886084,203957,206716,105358,362771,281406,131797,113999,163257,256414,79580,216671,163046,131093,179921,196285,58995,105132,194192,190967,50063,104745,99607,190991,154589,163835,368592,298910,373493,278029,688973,97931,303363,291787,536340,611751,376319,361357,387126,169460,174710,72662,206615,168538,110359,188839,19396,501251,211273,195520,195700,341096,183927,343656,923633,347825,507087,408137,408014,203370,369158,366000,380251,342671,160019,248344,221637,204249,108685,332748,388007,233184,97893
107,10069,1736,4037,20352,19859,699849,211640,11874,7213,328268,331915,9959,6699,7765,7978,673357,11617,12681,346267,12651,9083,9829,13261,426946,16056,296854,872067,226,11907,60204,1802,13122,330996,452372,14028,449169,330692,31873,14084,59029,20621,316106,4528,11114,12166,661834,2485,660955,11984,3361,660041,8529,200753,909751,182814,316446,12104,4730,10775,6553,12533,8076,11703,22378,6855,8455,768079,664630,66488,872806,11086,82789,9631,22732,13217,14618,12751,200850,3539,7198,658471,42565,11471,18263,10759,661964,105954,14031,7180,204278,675592,49842,8417,659047,89379,232916,22732,661424,2201,24811,7683,2719,8214,16425,4981,64684,107364,0,12214,9316,22728,27296,5031,42565,16612,450138,10611,29342,10826,4153,31984,14297,6735,658118,658327,2772,10636,11933,90537,11619,10490,3441,13841,3898,11329,9392,13517,9330,3036,331272,12887,9946,7483,26488,19032,297021,8294,2634,13456,6541,9929,203570,101199,203354,5954,333533,237302,659075,51588,6245,650880,11577,330529,10762,177368,15843,11213,9417,3516,11642,7754,12781,60192,660947,9210,330357,7116,314762,7219,3287,150230,148232,11511,165677,659011,11795,448969,31661,180999,233178,377359,275771,214353,194229,41629,24655,15902,934719,291879,160906,27979,66784,439845,9455,385537,203073,11469,8556,238794,19897,2589,471215,402784,397705,650450,16686,7005,13137,660697,663621,447520,871852,874057,54329,183087,173234,183385,166349,311879,213015,208539,450732,305339,22483,350338,6043,11465,12901,236214,203698,46840,4781,160907,20950,13652,10324,18123,658602,267811,13903,14764,587,235498,658312,662641,177712,7364,7330,246768,148510,267933,232639,183116,53579,471214,339516,233373,170104,20669,8032,10572,9302,7863,9971,185156,59073,447564,648730,219595,196718,10709,331287,188993,346337,756559,665288,22143,204388,268339,7475,871929,233788,236546,3942,348615,267251,23142,12583,149102,242259,47148,202515,192877,33323,71694,226115,57264,75876,180037,176811,73578,75489,129438,176836,140434,193666,325129,284755,330029,263874,674818,91159,289208,277632,522184,597596,362163,347202,372971,88618,124686,102493,192459,198368,11758,174684,122337,448901,197118,181364,181545,326940,169771,329500,909477,333669,454737,393981,393858,233201,328157,351845,366095,328516,114866,234188,207481,234079,7269,318593,373852,141892,127723
108,4832,12887,11439,20581,23619,704093,217585,3404,9183,334214,337861,5841,5836,5276,7062,663866,3287,969,352213,1983,6671,6056,5828,443727,10031,302188,876310,11544,11684,63754,14035,3182,336942,469153,25291,465950,336638,23757,22937,70292,30193,332887,15791,6895,3168,663672,9871,662199,4551,11859,663721,5107,206699,913994,194077,333227,9194,15993,275,6480,4312,4655,3233,33641,18118,4473,772322,673613,77751,877050,290,62943,10051,32392,2954,1233,3963,206796,10310,18461,662715,39373,8486,8252,4505,663802,105071,2945,15292,210223,662824,61105,18255,663291,88781,244179,32392,663053,9605,17811,6018,10845,4079,19690,8271,75947,118627,12032,0,7542,12099,32727,8092,39373,5943,466919,7075,40605,12381,10574,35591,2489,6034,662362,662571,8996,4337,1160,89939,4193,4232,8895,2668,9525,4150,16475,2752,9567,10002,337217,2535,10425,4952,19543,19651,302355,10139,12603,2115,8625,6327,209515,85491,209300,15526,339478,248565,663318,62851,11593,655124,693,336475,4139,183313,18043,11957,6834,9103,8677,8261,4000,63742,665191,6644,336302,5507,320707,5270,11344,156176,132109,3602,176940,663255,5962,465750,78456,192262,249959,394140,287034,225616,200175,51201,15180,5483,938963,303142,172169,25574,70952,456626,16538,391482,209018,1688,18422,266121,31160,12580,476542,408730,414486,654693,6018,5992,8759,663381,661734,464301,876096,878301,65592,194350,179179,194648,177612,328660,218961,210811,467513,322120,12135,356284,17306,15435,1656,247477,209644,56413,7235,166852,7350,22504,18476,22390,662845,273756,466,983,11953,252279,667328,666885,188975,6570,10232,258031,132387,273878,243902,194379,70579,476541,345461,250154,176049,20898,4956,5798,7359,4533,6207,196419,70336,464345,652974,225540,202663,4793,337233,194939,352282,760803,661520,15798,211758,274284,5637,876173,245051,247810,8440,354561,273196,22543,1914,155047,248204,56720,208461,204140,58855,55986,237378,68527,81821,185982,182757,84841,81435,140701,182781,146379,204929,341910,290700,346810,269819,679061,97104,282462,278754,526428,601840,368109,353147,378916,88020,124088,113756,219786,209631,8374,180629,133600,465683,203744,187310,187490,332886,175717,335446,913721,339615,471519,399927,399804,244464,344938,392453,372041,334461,114268,261515,213427,245342,5323,324538,379797,158673,138986
109,2840,7310,6908,20772,22013,700217,212008,5804,3078,328636,332283,1318,951,1715,1349,673725,3810,7399,346635,7369,1679,1567,6474,419711,9270,269093,872434,9203,6033,29417,8457,6336,331364,445137,20869,441933,331060,27764,20926,65871,25640,308871,11369,4327,7704,662202,5450,661323,5198,7327,660408,3246,201121,910118,189656,309211,6192,11571,5492,3277,5747,2794,5633,29219,13696,3037,768446,664998,73330,873174,5803,68329,7500,26814,5410,7832,8289,201218,4139,14039,658839,38456,5260,14154,2632,662332,101845,8331,11514,204645,638807,56683,12677,659415,84920,239758,26814,661791,5184,21647,845,4674,2931,13256,4514,71525,114206,7611,6932,0,11697,19700,4495,38456,11329,442903,3825,36183,8286,4997,24388,6489,1149,658486,658695,4575,2737,6651,86078,3811,5451,4474,7055,5103,3522,14255,5710,3299,5580,331639,5079,7874,1818,23774,19452,269259,4562,7025,5649,3048,1956,203937,90877,203722,10974,333900,244143,659442,58430,6109,651248,6295,330897,3188,177736,10733,5818,1190,4681,5731,2836,4973,29405,661315,2424,330724,3552,315130,3655,6189,150598,137495,7049,172519,659379,5009,441733,29278,187840,225943,370123,282613,221194,194597,59890,20546,11793,935087,298721,167748,20743,63137,432610,14318,385905,203440,6187,12845,211032,26739,7002,471582,403152,390470,650817,11404,1722,9404,661064,663988,440284,872220,874425,61171,189929,173602,190227,173191,304643,213383,180777,443497,298103,18374,350706,12884,15398,7618,243056,204066,65102,2814,161275,14085,20493,15344,23143,658969,268178,6095,7977,7531,228263,658680,663009,184553,484,4890,253610,137773,268300,239480,189957,33981,471582,339883,226138,170471,21089,2614,3786,5569,2445,2556,191998,65915,440328,649098,219962,197085,3259,331655,189361,346704,756927,637504,13368,176626,268706,1083,872297,240629,243388,4019,348983,267618,18682,7300,149469,242626,65410,202883,199719,26087,61372,232957,64105,76243,180404,177179,80419,75857,136279,177203,140801,200507,317893,285123,322794,264241,675185,91527,261446,249870,522552,597964,362531,347569,373339,84159,120227,109334,164698,186254,8025,175051,129179,441666,169356,181732,181912,327308,170139,329868,909845,334037,447502,394349,394226,240043,320921,352212,366463,328883,110407,206427,207849,240921,3705,318960,374219,134657,134565
110,8247,17345,23403,28848,41436,675071,214920,11528,11688,331548,335195,10160,10595,10068,10277,634844,9915,12105,349547,12117,9278,9649,6508,414705,2262,263117,847288,21962,7649,19227,17974,8983,334276,440131,29800,436928,333972,53350,31133,72131,32863,303865,20402,6315,12061,634649,20548,633176,8500,27202,634699,10503,204033,884972,195916,304205,5668,20774,10776,14141,7763,10605,11357,38150,21342,10109,743300,644590,79590,848028,11087,61906,16707,29727,10387,10480,12773,204130,12673,22970,633693,50578,6203,18387,9576,634780,116276,13079,30023,207557,633802,69533,17912,634269,78944,246018,29727,634030,20172,45312,10110,18983,10984,9854,15523,84375,127055,23500,12215,10148,0,6556,15505,50578,31358,437897,6645,49033,5826,12068,11217,10231,10793,633340,633549,13696,9453,11874,80103,9798,12356,14596,9702,21961,9508,32401,10142,8589,21099,334552,10501,17081,10294,47043,27898,263284,9540,17061,10081,10690,9340,206850,80316,206634,25294,336813,250403,634296,71280,9327,626102,11139,333809,8941,180648,8206,7436,9440,14265,5979,11190,9674,19215,636168,8897,333637,14415,318042,11926,22683,153510,126934,12200,185369,634233,7670,436728,91871,194100,220937,365117,295462,234044,197509,72740,29385,15618,909941,304981,180597,15738,82157,427604,32464,388817,206353,12673,17617,205057,32999,17950,447520,406064,385464,625671,31433,11043,16836,634359,632712,435279,847073,849278,74020,196189,176514,196487,186040,299638,216295,174802,438491,293098,33630,353618,20186,34373,11151,249316,206978,77951,13823,164187,28570,30701,34368,39700,633823,271091,10528,10625,22323,223257,638306,637863,190813,11855,9032,259870,127212,271213,245740,196217,26053,447519,342796,221132,173384,29165,10290,8262,14014,9892,9135,198258,72175,435323,623951,222875,199998,9212,334567,192273,349617,731781,632498,4762,170651,271619,9954,847150,246889,249648,14733,351895,270530,12707,12048,152382,245538,78259,205795,205979,14042,50811,239217,76955,79156,160355,180091,93269,78769,142539,180116,143714,206767,312888,288035,317788,267154,650039,94439,253440,243895,497406,572817,365443,350482,376251,78183,114252,115595,158722,189166,16346,177964,142028,436660,163381,184644,184825,330220,173051,332780,884699,336949,442496,397261,397138,246303,315916,363430,369375,331796,104432,200452,210761,247181,11979,321873,377131,129651,140825
